,category,n_products,total_sales,total_quantity,total_revenues,total_profits,avg_review_score,avg_cost_of_reviews,avg_wait_time
7,bed_bath_table,2972,1030834.98,11046,103083.498,-98876.502,3.8975864682333916,67.9542395693136,12.588349246011074
39,furniture_decor,2575,718171.91,8223,71817.191,-52732.808999999994,3.962500166607556,48.36893203883495,13.393504699197694
68,telephony,1104,318839.15,4514,31883.915,-43356.085,4.001094095098828,68.15217391304348,12.354091492758782
15,computers_accessories,1598,899465.74,7766,89946.57400000001,-32863.42599999999,4.008547626738903,76.85231539424281,12.869857754180716
49,housewares,2275,623828.14,6875,62382.814000000006,-26137.185999999998,4.132695045579106,38.90989010989011,10.932798316811274
26,electronics,507,155703.17,2752,15570.317000000001,-23689.683,4.130652694924701,77.43589743589743,12.215286476426774
65,sports_leisure,2811,976548.15,8570,97654.815,-16515.184999999994,4.169352106845267,40.615439345428676,12.081732148612932
28,fashion_bags_accessories,827,150576.02,2009,15057.602,-12392.398,4.1663088762308655,33.192261185006046,11.45095012125207
6,baby,885,407673.24,3026,40767.324,-9282.675999999998,4.063701491186538,56.55367231638418,11.944832135959428
59,perfumery,856,397280.98,3406,39728.098000000005,-8291.901999999998,4.1566833287922,56.098130841121495,11.545353767425569
69,toys,1366,475276.66000000003,4067,47527.666000000005,-7432.333999999997,4.234706770131413,40.234260614934115,10.986092813972311
57,office_furniture,299,269728.24,1676,26972.824,-7167.175999999999,3.7744919721383257,114.18060200668896,17.606666515745143
66,stationery,830,226957.76,2498,22695.776,-6854.223999999998,4.278395996603892,35.602409638554214,11.813903017389713
42,garden_tools,723,475223.67,4310,47522.367,-6017.632999999997,4.184056880619721,74.05255878284925,11.703078654898553
47,home_confort,109,57795.14,432,5779.514000000001,-3500.4859999999994,3.803324098191129,85.13761467889908,13.63055275748629
5,auto,1846,582583.17,4156,58258.317,-3321.682999999997,4.100964008581738,33.358613217768145,12.36420923562856
44,home_appliances,362,79341.88,763,7934.188,-3215.8119999999994,4.183805751983488,30.80110497237569,11.31600921633788
43,health_beauty,2390,1251312.28,9606,125131.228,-3108.771999999994,4.239643115665502,53.65690376569037,11.569617278887312
4,audio,58,50688.5,364,5068.85,-3001.1499999999996,3.7552330656469164,139.13793103448276,13.36007933806902
60,pet_shop,708,212966.43,1934,21296.643,-2543.3569999999986,4.199039971772744,33.67231638418079,11.259765060938138
36,food,79,29099.61,506,2909.9610000000002,-2270.0389999999998,4.309372368737786,65.56962025316456,8.850954358716516
