,category,seller_id,allocated_profit,items_sold
6086,watches_gifts,6560211a19b47992c3666cc44a7e94c0,-22430.1,1624
5795,telephony,ea8482cd71df3c1969d7b9473ff13abc,-17088.8619355384,1177
841,bed_bath_table,4a3ca9315b744ce9f8e9374361493884,-14860.368202896174,1566
3486,health_beauty,cc419e0650a3c5ba77189a1882b7556a,-12917.999,1091
2903,garden_tools,1f50f920176fa81dab994f9023523100,-12796.688999999998,1882
2091,electronics,8b321bb669392f5163d04c59e235e066,-12754.967088519676,909
936,bed_bath_table,d2374cbcbb3ca4ab1086534108cc3ab7,-11893.368,597
793,bed_bath_table,1835b56ce799e6a4dc4eddc053f04066,-9866.30345,550
4526,office_furniture,7c67e1448b00f6e969d365cea6b010ab,-9203.61746470675,1232
794,bed_bath_table,1900267e848ceeba8fa32d80c1a5f5a8,-7214.1359999999995,518
2733,furniture_decor,cca3071e3e9bb7d12640c9fbe2301306,-7011.210999999999,537
1244,computers_accessories,897060da8b9a21f655304d50fd935913,-6892.2566556694765,408
5679,telephony,2138ccb85b11a4ec1e37afbd1c8eda1f,-6332.436466666667,364
4692,perfumery,cc419e0650a3c5ba77189a1882b7556a,-6300.520283333333,657
2490,furniture_decor,1025f0e2d44d7041d6cf58b6550e0bfa,-5495.355,1287
2011,electronics,128639473a139ac0f3e5f5ade55873a5,-5494.292331875,540
940,bed_bath_table,da8622b14eb17ae2831f4ac5b9dab84a,-5135.199999999999,1275
5739,telephony,92eb0f42c21942b6552362b9b114707d,-4988.567502573815,339
5798,telephony,ef506c96320abeedfb894c34db06f478,-4859.605162121212,311
3621,home_appliances,d91fb3b7d041e83b64a00a3edfb37e4f,-4802.945,493
1239,computers_accessories,85d9eb9ddc5d00ca9336a2219c97bb13,-4561.598,480
4599,perfumery,3c7c4a49ec3c6550809089c6a2ca9370,-4174.719333333333,160
1243,computers_accessories,88460e8ebdecbfecb5f9601833981930,-4107.922565854146,302
662,baby,855668e0971d4dfd7bef1b6a4133b41b,-4079.121666666667,293
3907,housewares,53e4c6e0f4312d4d2107a8c9cddf45cd,-3804.298,475
881,bed_bath_table,8160255418d5aaa7dbdc9f4c64ebda44,-3770.6299999999997,424
3113,health_beauty,06a2c3af7b3aee5d69171b0e14f0ee87,-3629.105,405
2247,fashion_bags_accessories,e5a3438891c0bfdb9394643f95273d8e,-3569.653,161
3687,home_confort,4a3ca9315b744ce9f8e9374361493884,-3503.721842424242,243
5139,sports_leisure,4c2b230173bb36f9b240f2b8ac11786e,-3423.772,345
2199,fashion_bags_accessories,6560211a19b47992c3666cc44a7e94c0,-3342.317,340
5529,stationery,3d871de0142ce09b7081e2b9d1733cb1,-3332.4199999999996,834
1140,computers_accessories,2eb70248d66e0e3ef83659f71b244378,-3246.68,68
905,bed_bath_table,b2479f944e1b90cf8a5de1bbfde284d6,-3233.942,124
928,bed_bath_table,cca3071e3e9bb7d12640c9fbe2301306,-3164.4764999999998,241
2546,furniture_decor,391fc6631aebcf3004804e51b40bcf1e,-3153.727,332
943,bed_bath_table,dc4a0fc896dc34b0d5bfec8438291c80,-3147.977,226
5962,toys,a49928bcdf77c55c6d6e05e09a9b4ca5,-2908.91,91
1381,consoles_games,37515688008a7a40ac93e3b2e4ab203f,-2859.93,239
5850,toys,3d871de0142ce09b7081e2b9d1733cb1,-2832.8199999999997,244
858,bed_bath_table,609e1a9a6c2539919b8205cf7c4e6ff0,-2788.397,122
5724,telephony,7d76b645482be4a332374e8223836592,-2683.5601055555558,182
894,bed_bath_table,972d0f9cf61b499a4812cf0bfa3ad3c4,-2654.265736842105,88
827,bed_bath_table,391fc6631aebcf3004804e51b40bcf1e,-2606.942,279
5702,telephony,562fc2f2c2863ab7e79a9e4388a58a14,-2565.8535418300653,270
196,auto,16090f2ca825584b5a147ab24aa30c86,-2562.585,255
1352,computers_accessories,f457c46070d02cadd8a68551231220dd,-2530.3852673031183,234
141,audio,7040e82f899a04d1b434b795a43b4617,-2528.59,99
2663,furniture_decor,955fee9216a65b617aa5c0531780ce60,-2483.1099999999997,535
852,bed_bath_table,54965bbe3e4f07ae045b90b0b8541f52,-2402.85,82
435,auto,b4ffb71f0cb1b1c3d63fad021ecf93e1,-2224.391,165
3291,health_beauty,620c87c171fb2a6dd6e8bb4dec959fc6,-2169.9646429294385,412
934,bed_bath_table,d1c281d3ae149232351cd8c8cc885f0d,-2126.732,232
1217,computers_accessories,710e3548e02bc1d2831dfc4f1b5b14d4,-1990.03,30
2743,furniture_decor,d20b021d3efdf267a402c402a48ea64b,-1979.061,100
3998,housewares,813348c996469b40f2e028d5429d3495,-1929.417,202
2049,electronics,5656537e588803a555b8eb41f07a944b,-1902.3347490996925,90
857,bed_bath_table,602044f2c16190c2c6e45eb35c2e21cb,-1826.0829999999999,56
1148,computers_accessories,36a968b544695394e4e9d7572688598f,-1800.524,82
2165,fashion_bags_accessories,0ea22c1cfbdc755f86b9b54b39c16043,-1784.58,244
2647,furniture_decor,8a32e327fe2c1b3511609d81aaf9f042,-1783.039,139
1133,computers_accessories,229c3efbfb0ea2058de4ccdfbc3d784a,-1780.415214219546,148
876,bed_bath_table,7ad32824caee82087b3e2e5f33b1bf32,-1760.3685357142856,182
796,bed_bath_table,1c129092bf23f28a5930387c980c0dfc,-1730.5079999999998,217
5439,sports_leisure,e9779976487b77c6d4ac45f75ec7afe9,-1721.707682312925,317
5826,toys,1ca7077d890b907f89be8c954a02686a,-1704.223,23
2730,furniture_decor,cac4c8e7b1ca6252d8f20b2fc1a2e4af,-1688.281,63
932,bed_bath_table,cfb1a033743668a192316f3c6d1d2671,-1674.5267999999999,182
710,baby,bbad7e518d7af88a0897397ffdca1979,-1672.4599999999998,46
866,bed_bath_table,6fd52c528dcb38be2eea044946b811f8,-1667.432,82
