,revenues,cost_of_reviews,profits,quantity,n_products,product_rank
0,4889.934,-250,4639.934,35,1,1
1,11278.434000000001,-2630,8648.434000000001,230,2,2
2,16751.454,-4320,12431.454000000002,386,3,3
3,20524.844,-4650,15874.844000000001,449,4,4
4,23354.043,-4870,18484.043,469,5,5
5,25857.443000000003,-4970,20887.443000000003,482,6,6
6,28759.891000000003,-5700,23059.891000000003,527,7,7
7,32650.623000000003,-7570,25080.623000000003,565,8,8
8,35650.359000000004,-8580,27070.359000000004,719,9,9
9,37824.349,-8820,29004.349000000006,736,10,10
10,39974.308000000005,-9120,30854.308000000005,753,11,11
11,41474.253000000004,-9120,32354.253000000004,758,12,12
12,45582.513000000006,-11750,33832.513000000006,1032,13,13
13,47059.513000000006,-11750,35309.513000000006,1039,14,14
14,48885.80900000001,-12240,36645.80900000001,1071,15,15
15,50229.80900000001,-12340,37889.80900000001,1079,16,16
16,51688.80900000001,-12560,39128.80900000001,1098,17,17
17,53008.10900000001,-12660,40348.10900000001,1105,18,18
18,55208.09800000001,-13700,41508.09800000001,1116,19,19
19,56462.748000000014,-13800,42662.748000000014,1126,20,20
20,57944.591000000015,-14180,43764.591000000015,1179,21,21
21,58998.591000000015,-14180,44818.591000000015,1189,22,22
22,60078.50100000002,-14220,45858.50100000002,1198,23,23
23,61077.50100000002,-14220,46857.50100000002,1203,24,24
24,62446.07200000002,-14590,47856.07200000002,1250,25,25
25,63634.57700000002,-14810,48824.57700000002,1263,26,26
26,65082.90800000002,-15290,49792.90800000002,1318,27,27
27,66661.40800000002,-15910,50751.40800000002,1343,28,28
28,67601.40500000003,-15910,51691.40500000002,1346,29,29
29,68810.03100000003,-16200,52610.03100000002,1379,30,30
30,69721.13100000004,-16200,53521.131000000016,1401,31,31
31,70728.63100000004,-16300,54428.631000000016,1414,32,32
32,71672.82500000004,-16340,55332.82500000002,1430,33,33
33,72619.13500000004,-16390,56229.13500000002,1441,34,34
34,73665.13500000004,-16540,57125.13500000002,1447,35,35
35,74531.10700000003,-16540,57991.10700000002,1455,36,36
36,75616.51900000003,-16760,58856.519000000015,1508,37,37
37,76552.01000000002,-16840,59712.01000000002,1517,38,38
38,77391.94000000002,-16840,60551.94000000002,1524,39,39
39,78670.74000000002,-17280,61390.74000000002,1539,40,40
40,79474.74000000002,-17280,62194.74000000002,1549,41,41
41,80670.88000000002,-17680,62990.88000000002,1588,42,42
42,81984.86000000002,-18200,63784.86000000002,1644,43,43
43,82772.85200000001,-18200,64572.85200000002,1656,44,44
44,83547.75200000001,-18200,65347.75200000002,1658,45,45
45,84457.232,-18340,66117.23200000002,1675,46,46
46,85812.232,-18940,66872.23200000002,1731,47,47
47,86611.83200000001,-18990,67621.83200000002,1735,48,48
48,87406.13200000001,-19040,68366.13200000003,1740,49,49
49,88218.51000000001,-19120,69098.51000000002,1754,50,50
50,88937.91,-19120,69817.91000000002,1760,51,51
51,91984.66,-21450,70534.66000000002,1903,52,52
52,92970.446,-21720,71250.44600000003,1960,53,53
53,93671.87,-21720,71951.87000000002,1963,54,54
54,94458.67,-21820,72638.67000000003,1966,55,55
55,95563.143,-22240,73323.14300000003,2018,56,56
56,96432.286,-22430,74002.28600000002,2036,57,57
57,97186.237,-22510,74676.23700000002,2051,58,58
58,97859.737,-22510,75349.73700000002,2052,59,59
59,98532.43699999999,-22510,76022.43700000002,2056,60,60
60,99499.34199999999,-22810,76689.34200000002,2063,61,61
61,100683.37199999999,-23340,77343.37200000002,2085,62,62
62,101333.27199999998,-23340,77993.27200000001,2086,63,63
63,101983.09699999998,-23340,78643.09700000001,2091,64,64
64,103054.05099999998,-23770,79284.051,2137,65,65
65,103791.51099999998,-23870,79921.51100000001,2140,66,66
66,104470.26099999998,-23920,80550.26100000001,2145,67,67
67,105377.26099999998,-24200,81177.26100000001,2175,68,68
68,106202.26099999998,-24400,81802.26100000001,2190,69,69
69,106858.96099999998,-24440,82418.96100000001,2197,70,70
70,107475.16099999998,-24440,83035.16100000001,2205,71,71
71,108088.42099999997,-24440,83648.421,2212,72,72
72,109599.60299999997,-25340,84259.603,2315,73,73
73,110310.65299999998,-25440,84870.653,2324,74,74
74,111114.95299999998,-25640,85474.95300000001,2342,75,75
75,111866.75299999998,-25790,86076.75300000001,2384,76,76
76,112465.75299999998,-25790,86675.75300000001,2394,77,77
77,113060.74599999998,-25790,87270.74600000001,2401,78,78
78,113654.24599999998,-25790,87864.24600000001,2406,79,79
79,114534.42099999999,-26080,88454.42100000002,2450,80,80
80,115448.83099999999,-26410,89038.83100000002,2462,81,81
81,116122.35599999999,-26510,89612.35600000001,2473,82,82
82,120843.80699999999,-30660,90183.80700000002,2816,83,83
83,121450.79399999998,-30700,90750.79400000001,2839,84,84
84,122149.79399999998,-30840,91309.79400000001,2849,85,85
85,122699.29399999998,-30840,91859.29400000001,2854,86,86
86,124372.47299999998,-31970,92402.47300000001,2878,87,87
87,125011.49799999998,-32070,92941.498,2883,88,88
88,125588.88799999998,-32110,93478.888,2894,89,89
89,126204.23299999998,-32190,94014.23300000001,2909,90,90
90,126833.23299999998,-32290,94543.23300000001,2919,91,91
91,127657.99299999997,-32590,95067.993,2993,92,92
92,128321.09299999998,-32730,95591.09300000001,3012,93,93
93,129041.24299999997,-32930,96111.243,3041,94,94
94,130518.44299999997,-33890,96628.443,3103,95,95
95,131031.75299999997,-33890,97141.753,3132,96,96
96,131541.75299999997,-33890,97651.753,3138,97,97
